P62593
P28305
P18314
P0AE22
P02919
P39662
Q08426
P25275
Q44532
P19909
P12758
P17315
P61177
P0A9D2
P50440
Q59HE2
P32322
P09148
P11922
P0A2W7
P43777
P06971
P13196
P28248
P0AEK7
P0AF93
Q9NNW7
P95276
P0A1F6
P0A921
P02924
P20932
L0DSL2
P55072
P0AC44
P00156
P06653
P0C0J0
P0AGE0
P48632
P0AFB1
P07024
P40925
P50870
O68601
P08337
P49424
Q02761
P0AFU8
O60488
P26276
P27017
P06672
Q8ZKR2
O25323
P0AEE5
P0AG59
P0A6I9
Q94655
P06993
O60706
P9WK83
Q09428
Q02192
Q8P9V9
Q72EF4
P05364
P11350
P55792
P06129
Q9ZGI2
P0A927
P0A9Z7
P0A753
P00646
P10515
Q7ADF8
Q47Q21
Q99714
P35228
Q57265
P00395
P0AEJ4
Q8EBR3
P17846
P60327
P24228
P13956
P0AE12
P06709
P15587
P01552
P0A733
P9WPE1
A7B6P0
P05618
P07026
P24232
Q5SJI0
P55809
Q13183
Q6GII7
P0A8X2
P36683
P41407
P0A7S9
Q6ZQY3
Q56694
P0AGC3
P61889
P32056
P02943
Q9I194
O25928
P19926
P77173
O34453
P0AGG2
P0A6C8
P23234
Q06174
P44783
Q672W7
B2ZTR6
P03355
P0A8V9
P0A9M5
P05193
P06132
P83788
P33517
P16930
P0A955
P49589
P0A7J6
O25096
P14735
Q7DC80
P06715
P31937
P0ABF6
P23827
Q9Z4N6
P19531
P77398
P0A6V7
P75914
P21589
P45124
O31158
P9WIE5
Q52369
P76216
P47229
P34913
P21408
Q9ZF99
P39265
P04964
P38038
P37001
P26827
P76270
Q05599
P28793
P00138
P81989
P00929
P10384
P14756
Q9UJ68
Q57366
Q1LCS4
P46859
P61497
P09391
P17413
Q16881
P0A6K3
O32449
P02929
P0A9E0
P23837
P15121
P0A793
P0ABQ4
Q8UCK6
P0A8Q0
Q00740
P51659
P0A7X3
P9WKE9
P0A6Q3
P13000
Q9Y600
P02931
Q9BYC2
P63462
Q6GGU4
P06716
P19440
Q45135
Q8VVD2
P40871
P31572
P28593
Q52437
P0ABE7
Q0P8G4
P10768
P40943
O95255
P38489
P13650
P0AER0
P16099
Q56691
P17117
Q02768
P08244
Q7CL96
P9WIL5
P0ABA0
P24300
Q8Z2X8
P03023
P96945
P76187
O34714
Q0WKM4
P15474
P0A7R5
P0A917
P0AEX9
Q6NUM9
Q7WUJ1
Q83QN9
P32722
P0AE67
Q06700
P52687
P07773
P0A017
Q9X266
Q60037
P0AFL3
P00861
P0AEG4
P83844
P77541
P07801
P23141
P0A6M2
P0AES2
P0A6Q5
P49327
P23905
Q96C36
Q5LRQ9
P12851
P62594
Q9L6V3
P0A9J8
P24092
P69488
P42512
P9WKD7
P37672
P0C0T5
Q9ZIV5
P30038
P9WKK7
P40859
P24183
P0ACJ8
P22088
P0A078
P25006
Q47PU3
P31639
O68541
P45314
P56740
P32396
Q9PM68
P17596
P44886
P40926
P32427
P0ADA1
P61322
P26466
P0A8Q3
P0A910
Q5G940
P27505
P07014
P21912
P06875
P40939
A0A0H2Z368
P72355
P12070
P0A6E4
P0A915
Q8ZPC0
Q7L266
Q16222
P07110
P22340
P0A079
P11439
Q44048
P13001
Q5JAM2
O15439
Q9K597
P31142
Q93PP9
P36673
P07771
Q9RA47
P05187
P00438
Q51782
P29475
P21631
P56868
Q8N8N7
Q46822
Q8KT33
P29208
Q59401
P13866
Q54468
P03692
P46881
P04252
Q939D2
Q9RX51
P0A7U3
P43490
P00436
P13036
P52895
Q7BK04
P00811
P0A094
Q3JUV5
P0AEG6
P28861
Q9WYS2
P20586
P44160
P26281
P00437
P08692
Q70I53
P0AB87
P32397
P0A721
Q93CA2
Q9PPP5
O14841
Q6NVY1
P69054
P32173
P43886
P31133
Q51705
Q9KL51
P0AFM2
P30920
P35558
O25608
P9WP01
P0AD63
Q9RN68
A9JQL9
P09546
P41020
P07822
P77967
Q8XB74
P37610
P53608
P29474
Q7SIA3
P62617
P30041
Q14914
Q9ZLT0
O31168
Q9I5I9
P0A6T8
Q9ZK53
P40394
P0A6I8
Q08257
P61320
P46883
P77150
Q01234
P07254
P10696
P9WFF5
Q9X2W8
P0AAJ3
P45799
A0A0M3KKX1
Q8WWT9
P0AC47
P62619
P43985
P0A8V6
P98002
P00390
P84888
P26918
Q48255
Q72LA4
P16435
P61949
P84887
P17291
O30527
Q46893
P30749
Q9BZW2
P69795
P0A745
P0A6W9
O15440
P0DM80
P0AD64
Q5EK40
P81040
P0A6L0
A0A0H3JWX6
P26602
Q01693
P00282
P9WNH5
P0AA43
P16100
P00909
Q93EK7
P02941
P80357
