P0AB87
Q96I99
P02924
O85465
P0AB80
P83453
Q83QN9
P33247
P20932
P47205
P06715
P06716
P06710
O67135
P77390
P16435
P30613
P77398
O34002
P0A6I0
P13995
P0A6I3
P0A6I8
P51553
Q4KH25
P52209
P31101
P50213
Q60037
P13100
Q9BYF1
P0C0T5
Q9XBQ3
P06149
Q6FEW8
Q7DHH4
Q59GM9
P17050
P0A6W9
P55786
Q08638
P39805
Q13838
P0AB77
P0AB74
Q9XB59
P51857
Q9KWT6
Q9KWT5
P08842
P13661
Q27743
P13196
Q9ZK53
Q53ET4
Q9Y697
P09373
P04252
P52477
Q7L266
P33527
P24183
P24182
P00943
P52270
P0A953
Q9FBC5
O00763
P77674
P43353
P0A786
P02458
P10478
P03960
P29401
P9WHE9
P9WIQ1
P43912
P25924
Q88CZ6
Q9PPP5
Q9L9D7
P0A6J8
P76045
Q9F0I5
P9WFF7
P9WIJ3
P9WFF5
P04964
P0C0H6
P60339
P71143
P35520
P68104
Q9A1X4
Q07982
P00935
P09850
P06280
A0A0H3JRU9
P62617
Q46509
Q9X108
Q46822
O43837
P09788
P43457
P42085
P42328
Q53591
P0A749
Q8Y7N7
P0A745
P42321
Q9X0L5
Q48436
Q7MUW6
O75891
P18177
P04036
P04035
Q9BXA1
Q9KFR4
P26827
P03706
P00722
Q9X6V3
P09391
P26514
P23222
Q14565
P00338
P37747
P06210
P17596
P17846
P0A988
P0A079
P07814
Q9X1T2
P0AEB2
P0AEB3
P0DM80
Q3JWH7
O34928
P22102
P56868
P0A8P1
P54548
Q13126
P02941
O43246
P78540
P62623
P04040
P32322
Q13085
Q54468
P12821
P0A6I9
O43766
O68601
P61949
P0AEE5
P45568
Q81L49
P26466
P44160
P45066
Q9KG76
O69007
Q16850
Q7SIE9
P0AGC3
P9WND1
P06864
P15925
Q7SIE2
P83788
P26640
Q5SHF5
Q9WZD5
Q9RHZ6
Q13231
P22073
Q83M58
O95954
P08123
P19079
P07771
O60264
Q7CL96
P11586
P33038
C3T8E2
P0AF14
Q06AK7
P06968
P40943
P0AF12
Q96RQ3
P66010
P29813
P03300
P48029
Q60FT7
Q02192
P0AB91
P77173
P48163
P49411
P48147
Q08698
P16083
Q13423
P49419
P44490
Q83LD8
Q9X1F8
Q9WZC2
P0AES2
P20581
Q0S9X1
Q3JUV5
P20586
Q8ZKF6
O67636
P37330
Q9S427
P30041
P07024
Q57366
P41789
P61432
P44886
P41252
P48735
Q02127
P0A9B2
P33673
Q16773
P40394
Q56268
P36683
P10768
P80357
P9WHT9
P77541
P59676
Q2M3G0
P17117
P30197
P0AD69
P0AD68
Q75WK2
P0AD65
Q56232
O15067
P83849
P07097
Q9ULA0
P19821
Q9LCX9
Q9HYN5
Q47066
Q9REC4
P17291
P83844
P22983
P22869
P0A6H7
P69908
P36959
P69903
P13981
P0ABQ0
P39377
P0ABQ4
Q9F0J6
P29803
P9WI81
P51606
P52895
P08164
P0AB71
O14556
P95468
P95780
P03886
P0AFI7
P0A6V8
P0AFI2
P0A6V7
Q04830
Q59961
Q47Q21
P31677
P07986
P9WJI5
Q9Y2Z4
Q04230
P03905
A1A2B5
P13001
P02452
P13009
P09148
O60547
P96945
P14900
Q9UJ68
P14868
P09147
P11998
P9WI73
P24228
P0AC13
Q9L915
P05091
Q5EK40
P09467
Q5SID9
Q92887
P77444
P29474
P29475
Q9Y617
P09546
P45954
Q08751
Q9X242
P83787
P32929
P08149
P39135
P29600
P45124
Q9UGM6
P14262
P05327
Q8P8J2
P60327
Q5SIR5
O33833
P27623
P00438
P00929
Q96NR8
P9WKE9
P20132
P00437
P63462
Q07837
P9WKE1
Q59771
Q9I5I9
O82839
Q9HUR5
P28593
P01008
P54819
Q9Z4N6
O75251
P0A759
P80561
P0C1U9
P0A751
P04062
P0A753
P0A8X2
Q47PU3
P52647
P00692
P00691
P35558
P22340
P35228
P00326
P00325
P00322
P06129
P23378
P42790
P00282
P27695
P27696
P27693
P17584
Q9U8D3
Q53707
P07801
O43252
Q49184
Q8AAK6
P42892
P16640
O06644
Q04760
Q83WG3
P14677
P53608
Q16798
P05653
P0A7Z4
P28838
P0A876
P41972
P0A872
P0A7Z3
P23368
Q5SHR6
P12851
Q9X266
B2ZTR6
P23367
Q816R0
P37610
Q9KB30
P00775
P26396
P26397
P26394
P72525
P27302
P26393
P26391
Q9KEQ1
Q3JP94
P45563
O94788
P30520
Q02218
P0AEK4
O07529
P44783
C1KC03
P0AEX9
Q13183
P11217
P11216
Q8N142
P60472
P11350
Q53ZE5
P22188
P19992
P61320
P40939
Q9HA77
P06993
P25524
Q9HVJ6
Q8GN86
P0AAI5
Q8DP79
P04936
Q7SIG1
P15104
A0A0H2XJ39
P0A9Z7
P02929
P14756
P14751
P0ACJ8
Q01693
P09110
P9WNX1
P33644
P9WNX3
O24990
P37321
P03007
P19531
P22570
A0A0H2WWQ9
P13900
P07014
Q9X1K9
P13866
Q9HGT2
P19909
O52791
P48728
Q0P8G4
Q8RQE8
P48723
P38606
P31937
P9WNS5
P31930
Q16881
P15034
P31939
P65389
P9WHU1
Q8GEZ8
P9WQ77
P06744
Q9HTQ2
P47229
P47228
P39023
P47895
Q96EM0
Q3IWB0
Q2QJL3
P25052
P25053
O35000
Q9BYV1
P20648
P0AG82
P0AG16
Q01959
Q9NUB1
P80040
P55072
Q8WWT9
P51570
Q8DR59
Q6YP21
P23975
P61987
Q6GI75
Q734I1
Q9BZW2
P0ABP8
A7B6P0
P36673
Q9RME2
Q9HTN2
O25096
P0AE22
O05935
Q03736
P13650
P06608
P17174
Q04828
P17443
Q9Y646
Q59976
Q9NSE4
P0A0N4
P31645
Q59401
P03915
L0DSL2
P09152
Q9X6W0
Q01770
O95342
P05655
Q5T6L4
P30012
Q15067
Q44048
Q51225
Q97R46
P31013
P31012
P05089
P60174
P83791
Q819U0
Q46893
P10515
P0C0X2
P0C0X1
P83223
A0A0M3KKX1
P11922
O34974
P39304
Q888A4
P77454
P07464
P39126
Q54089
P15587
Q59721
Q9L888
P08238
P39045
Q07806
P24092
P56740
P20083
P14218
Q9RN68
Q88K39
P0A6R0
Q70KI2
Q9WXV1
